transcript_id	blastx_id	blastx_full	Higher_expression
TRINITY_DN4651_c1_g1_i3	CDP1_ARATH	Plastid division protein CDP1, chloroplastic {ECO:0000303|PubMed:19564892}	
TRINITY_DN4651_c1_g1_i8	CDP1_ARATH	Plastid division protein CDP1, chloroplastic {ECO:0000303|PubMed:19564892}	
TRINITY_DN4625_c0_g1_i1	.	.	6A
TRINITY_DN4645_c0_g1_i3	F3PH_PETHY	Flavonoid 3'-monooxygenase	
TRINITY_DN4604_c0_g1_i9	YKM6_SCHPO	UPF0613 protein PB24D3.06c	
TRINITY_DN4694_c0_g1_i1	BSK7_ARATH	Serine/threonine-protein kinase BSK7 {ECO:0000305}	6A
TRINITY_DN4694_c1_g1_i1	ASO_TOBAC	L-ascorbate oxidase	
TRINITY_DN4694_c1_g1_i4	ASO_TOBAC	L-ascorbate oxidase	
TRINITY_DN4694_c1_g1_i8	ASO_TOBAC	L-ascorbate oxidase	
TRINITY_DN4650_c0_g1_i3	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	
TRINITY_DN4650_c0_g1_i4	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	
TRINITY_DN4650_c0_g1_i7	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	
TRINITY_DN4650_c1_g1_i7	CRPK1_ARATH	Cold-responsive protein kinase 1 {ECO:0000303|PubMed:28344081}	
TRINITY_DN4650_c1_g1_i8	CRPK1_ARATH	Cold-responsive protein kinase 1 {ECO:0000303|PubMed:28344081}	
TRINITY_DN4698_c0_g1_i14	EI2BG_DICDI	Translation initiation factor eIF-2B subunit gamma	
TRINITY_DN4659_c0_g1_i4	.	.	
TRINITY_DN4691_c0_g1_i22	Y193_HAEIN	Putative esterase/lipase HI_0193	
TRINITY_DN4691_c0_g1_i30	.	.	
TRINITY_DN4691_c0_g1_i71	RUTD_METRJ	Putative carbamate hydrolase RutD {ECO:0000255|HAMAP-Rule:MF_00832}	
TRINITY_DN4688_c0_g1_i1	GATL7_ARATH	Probable galacturonosyltransferase-like 7	
TRINITY_DN4688_c0_g1_i4	GATL7_ARATH	Probable galacturonosyltransferase-like 7	
TRINITY_DN4688_c0_g1_i5	GATL7_ARATH	Probable galacturonosyltransferase-like 7	
TRINITY_DN4613_c0_g1_i6	MUB1_ARATH	Membrane-anchored ubiquitin-fold protein 1	
TRINITY_DN4685_c0_g2_i4	RS271_HORVU	Ubiquitin-40S ribosomal protein S27a	
TRINITY_DN4681_c0_g1_i11	TL203_ARATH	Thylakoid lumenal protein TL20.3, chloroplastic {ECO:0000303|PubMed:20049866}	
TRINITY_DN4681_c0_g1_i16	TL203_ARATH	Thylakoid lumenal protein TL20.3, chloroplastic {ECO:0000303|PubMed:20049866}	
TRINITY_DN4661_c0_g1_i2	CLPP6_ARATH	ATP-dependent Clp protease proteolytic subunit 6, chloroplastic {ECO:0000303|PubMed:11299370}	
TRINITY_DN4615_c0_g2_i1	TMN7_ARATH	Transmembrane 9 superfamily member 7 {ECO:0000305}	
TRINITY_DN4655_c0_g1_i2	SC241_SACU7	Protein transport protein SEC24-1	
TRINITY_DN4655_c0_g1_i4	SC24C_ARATH	Protein transport protein Sec24-like CEF	
TRINITY_DN4648_c0_g1_i11	GIP2_NICBE	Probable aspartic proteinase GIP2 {ECO:0000305}	
TRINITY_DN4648_c0_g1_i15	GIP2_NICBE	Probable aspartic proteinase GIP2 {ECO:0000305}	
TRINITY_DN4648_c0_g1_i7	GIP2_NICBE	Probable aspartic proteinase GIP2 {ECO:0000305}	
TRINITY_DN4620_c0_g1_i1	WRKY6_ARATH	WRKY transcription factor 6 {ECO:0000303|PubMed:11722756}	
TRINITY_DN4620_c0_g1_i10	WRKY6_ARATH	WRKY transcription factor 6 {ECO:0000303|PubMed:11722756}	
TRINITY_DN4620_c0_g1_i11	WRK42_ARATH	WRKY transcription factor 42 {ECO:0000303|Ref.1}	
TRINITY_DN4620_c0_g1_i16	WRKY6_ARATH	WRKY transcription factor 6 {ECO:0000303|PubMed:11722756}	
TRINITY_DN4680_c0_g1_i1	BCCP2_ARATH	Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2, chloroplastic	
TRINITY_DN4680_c0_g1_i6	BCCP2_ARATH	Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2, chloroplastic	6A
TRINITY_DN4680_c1_g2_i2	.	.	
TRINITY_DN4606_c0_g1_i13	RLP7_ARATH	Receptor-like protein 7 {ECO:0000303|PubMed:18434605}	
TRINITY_DN4606_c0_g1_i7	RLP7_ARATH	Receptor-like protein 7 {ECO:0000303|PubMed:18434605}	
TRINITY_DN4634_c0_g1_i3	PDC1_ARATH	Pyruvate decarboxylase 1	
TRINITY_DN4629_c0_g1_i23	ACT7_ARATH	Actin-7 {ECO:0000303|PubMed:8754679}	
TRINITY_DN4629_c0_g1_i3	ACT7_ARATH	Actin-7 {ECO:0000303|PubMed:8754679}	
TRINITY_DN4629_c4_g1_i1	ACT1_TOBAC	Actin	
TRINITY_DN4629_c4_g1_i2	ACT1_ORYSJ	Actin-1	
TRINITY_DN4629_c4_g3_i1	ACT5_SOLTU	Actin-66	
TRINITY_DN4616_c0_g1_i1	BZP53_ARATH	bZIP transcription factor 53 {ECO:0000303|PubMed:11906833}	6W
TRINITY_DN4616_c0_g1_i2	BZP53_ARATH	bZIP transcription factor 53 {ECO:0000303|PubMed:11906833}	
TRINITY_DN4673_c0_g1_i10	GRF5_ORYSJ	Growth-regulating factor 5	6A
TRINITY_DN4673_c0_g1_i25	GRF5_ORYSJ	Growth-regulating factor 5	
TRINITY_DN4610_c0_g1_i81	MFDR_ARATH	NADPH:adrenodoxin oxidoreductase, mitochondrial	
TRINITY_DN4689_c1_g2_i1	PMA4_NICPL	Plasma membrane ATPase 4	
TRINITY_DN4699_c0_g1_i2	ALA3_ARATH	Phospholipid-transporting ATPase 3 {ECO:0000303|PubMed:11402198}	
TRINITY_DN4666_c0_g1_i1	CCB3_ARATH	Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB3, chloroplastic {ECO:0000305}	6A
TRINITY_DN4674_c0_g1_i3	BC10_ORYSJ	Glycosyltransferase BC10 {ECO:0000305}	
TRINITY_DN4692_c0_g1_i16	.	.	
TRINITY_DN4660_c0_g1_i10	GT14B_ARATH	Beta-glucuronosyltransferase GlcAT14B {ECO:0000305}	
TRINITY_DN4660_c0_g1_i11	GT14B_ARATH	Beta-glucuronosyltransferase GlcAT14B {ECO:0000305}	
TRINITY_DN4641_c0_g1_i17	Y5614_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At1g56140	
TRINITY_DN4641_c0_g1_i2	.	.	
TRINITY_DN4641_c0_g1_i6	U2AFA_ARATH	Splicing factor U2af small subunit A	
TRINITY_DN4635_c0_g1_i3	GDT15_ARATH	GDT1-like protein 5	
TRINITY_DN4635_c0_g2_i20	DPE2_ARATH	4-alpha-glucanotransferase DPE2	
TRINITY_DN4676_c0_g1_i2	VP53A_ARATH	Vacuolar protein sorting-associated protein 53 A	
TRINITY_DN4676_c0_g1_i7	VP53A_ARATH	Vacuolar protein sorting-associated protein 53 A	
TRINITY_DN4682_c0_g1_i2	.	.	
TRINITY_DN4682_c0_g1_i33	.	.	
TRINITY_DN4644_c0_g1_i15	.	.	
TRINITY_DN4678_c0_g1_i1	HLS1L_ARATH	Probable N-acetyltransferase HLS1-like	
TRINITY_DN28868_c0_g1_i1	ENOX_SOLLC	2-methylene-furan-3-one reductase	
TRINITY_DN28884_c0_g1_i2	DTC_ARATH	Mitochondrial dicarboxylate/tricarboxylate transporter DTC	
TRINITY_DN28847_c0_g1_i2	PNSL5_ARATH	Photosynthetic NDH subunit of lumenal location 5, chloroplastic {ECO:0000303|PubMed:21785130}	
TRINITY_DN28842_c0_g2_i1	C71E6_SOLLC	Beta-amyrin 6-beta-monooxygenase {ECO:0000305}	
TRINITY_DN28851_c0_g1_i4	TIP22_ORYSJ	Probable aquaporin TIP2-2	
TRINITY_DN28814_c0_g1_i1	RS18_ARATH	40S ribosomal protein S18	
TRINITY_DN28823_c0_g1_i1	.	.	6W
TRINITY_DN28850_c0_g1_i27	KN4C_ARATH	Kinesin-like protein KIN-4C {ECO:0000305}	
TRINITY_DN28853_c0_g1_i1	.	.	
TRINITY_DN57718_c0_g1_i1	ERGI3_XENTR	Endoplasmic reticulum-Golgi intermediate compartment protein 3	
TRINITY_DN57654_c0_g1_i1	.	.	
TRINITY_DN57691_c0_g1_i1	PNTA_HAEIN	NAD(P) transhydrogenase subunit alpha	
TRINITY_DN57683_c0_g2_i1	.	.	
TRINITY_DN79277_c0_g1_i1	RCAF1_MOUSE	Respirasome Complex Assembly Factor 1 {ECO:0000250|UniProtKB:Q9BUV8}	
TRINITY_DN79235_c0_g1_i1	ASPA_ARATH	Aspartyl protease family protein At5g10770	
TRINITY_DN79248_c0_g1_i1	RL23A_RAT	60S ribosomal protein L23a	
TRINITY_DN56249_c0_g1_i1	PPDK2_MAIZE	Pyruvate, phosphate dikinase 2 {ECO:0000303|PubMed:1668653}	
TRINITY_DN56258_c0_g1_i1	TOP1B_ARATH	DNA topoisomerase 1 beta {ECO:0000305}	
TRINITY_DN56261_c0_g1_i1	.	.	
TRINITY_DN58905_c0_g1_i1	GIP1L_ARATH	GBF-interacting protein 1-like {ECO:0000303|PubMed:24484953}	
TRINITY_DN58886_c0_g1_i1	.	.	
TRINITY_DN58924_c0_g1_i4	BLUS1_ARATH	Serine/threonine-protein kinase BLUS1	
TRINITY_DN58924_c0_g1_i7	BLUS1_ARATH	Serine/threonine-protein kinase BLUS1	
TRINITY_DN99674_c0_g1_i1	.	.	
TRINITY_DN24183_c0_g1_i1	PSBU_PHATR	Photosystem II 12 kDa extrinsic protein, chloroplastic	
TRINITY_DN24183_c0_g1_i2	PSBU_PHATR	Photosystem II 12 kDa extrinsic protein, chloroplastic	
TRINITY_DN24256_c0_g1_i3	ZOG_PHALU	Zeatin O-glucosyltransferase {ECO:0000303|PubMed:9874810}	
TRINITY_DN24256_c0_g1_i9	ZOX_PHAVU	Zeatin O-xylosyltransferase {ECO:0000303|PubMed:10364407}	
TRINITY_DN24234_c1_g1_i1	QCR61_ARATH	Cytochrome b-c1 complex subunit 6-1, mitochondrial	
TRINITY_DN24236_c0_g1_i1	CML44_ARATH	Probable calcium-binding protein CML44	
TRINITY_DN24253_c0_g1_i1	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase	
TRINITY_DN24253_c0_g1_i4	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase	
TRINITY_DN24253_c0_g1_i7	CAMT1_POPTR	Caffeoyl-CoA O-methyltransferase 1	
TRINITY_DN24223_c0_g1_i1	ATP9M_NEUCR	ATP synthase subunit 9, mitochondrial	
TRINITY_DN24246_c0_g2_i1	.	.	
TRINITY_DN24221_c0_g1_i1	ARFY_ORYSJ	Auxin response factor 25	6W
TRINITY_DN24257_c0_g1_i4	DCUP_HORVU	Uroporphyrinogen decarboxylase	
TRINITY_DN24216_c0_g1_i1	.	.	
TRINITY_DN24231_c0_g1_i1	.	.	
TRINITY_DN24202_c0_g2_i1	.	.	
TRINITY_DN10828_c0_g1_i10	PLST3_ARATH	Probable plastidic glucose transporter 3	
TRINITY_DN10880_c0_g1_i1	GDU3_ARATH	Protein GLUTAMINE DUMPER 3	6A
TRINITY_DN10809_c0_g1_i2	RLK7_ARATH	Receptor-like protein kinase 7 {ECO:0000303|PubMed:20811905}	6W
TRINITY_DN10860_c0_g1_i1	.	.	
TRINITY_DN10883_c0_g1_i6	.	.	
TRINITY_DN10847_c0_g1_i6	.	.	
TRINITY_DN10817_c0_g1_i10	C78A7_ARATH	Cytochrome P450 78A7	
TRINITY_DN10886_c0_g1_i7	.	.	
TRINITY_DN10875_c0_g1_i49	FNTB_PEA	Protein farnesyltransferase subunit beta	
TRINITY_DN10824_c0_g1_i2	ACYP_RHORT	Acylphosphatase	
TRINITY_DN10824_c0_g1_i5	ACYP_RHORT	Acylphosphatase	
TRINITY_DN10862_c1_g2_i1	XTH23_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 23	
TRINITY_DN10836_c0_g1_i1	.	.	6W
TRINITY_DN10836_c0_g2_i1	.	.	
TRINITY_DN10836_c0_g2_i3	.	.	
TRINITY_DN10836_c0_g3_i1	.	.	
TRINITY_DN10836_c0_g3_i2	.	.	
TRINITY_DN10836_c0_g3_i3	.	.	
TRINITY_DN10836_c2_g1_i2	YCX91_PHAAO	Uncharacterized protein ORF91	
TRINITY_DN10836_c2_g1_i3	YCX91_PHAAO	Uncharacterized protein ORF91	
TRINITY_DN10836_c2_g1_i4	.	.	
TRINITY_DN10815_c0_g1_i12	RUN1_VITRO	Disease resistance protein RUN1 {ECO:0000305}	
TRINITY_DN10815_c0_g1_i14	RPV1_VITRO	Disease resistance protein RPV1 {ECO:0000305}	
TRINITY_DN10811_c0_g1_i3	KN12C_ARATH	Kinesin-like protein KIN-12C {ECO:0000305}	
TRINITY_DN10811_c0_g1_i4	KN12F_ORYSJ	Kinesin-like protein KIN-12F {ECO:0000305}	
TRINITY_DN10806_c0_g3_i2	XTH23_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 23	
TRINITY_DN10806_c0_g3_i5	XTH23_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 23	
TRINITY_DN10806_c0_g3_i6	XTH23_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 23	
TRINITY_DN10861_c0_g1_i1	.	.	
TRINITY_DN10861_c0_g1_i3	.	.	
TRINITY_DN10861_c0_g1_i4	.	.	
TRINITY_DN10807_c0_g1_i3	CET1_TOBAC	CEN-like protein 1	
TRINITY_DN10898_c0_g1_i1	.	.	6A
TRINITY_DN10898_c0_g2_i6	MANA2_ARATH	Probable alpha-mannosidase At5g13980 {ECO:0000305}	
TRINITY_DN10902_c0_g1_i1	DJB12_MOUSE	DnaJ homolog subfamily B member 12 {ECO:0000312|MGI:MGI:1931881}	6A
TRINITY_DN10902_c0_g1_i10	DJB12_MOUSE	DnaJ homolog subfamily B member 12 {ECO:0000312|MGI:MGI:1931881}	
TRINITY_DN10851_c0_g1_i4	ERF98_ARATH	Ethylene-responsive transcription factor ERF098	
TRINITY_DN10827_c1_g1_i1	PP2A2_ORYSJ	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	
TRINITY_DN10845_c0_g1_i1	RS29_PLUXY	40S ribosomal protein S29	
TRINITY_DN10845_c0_g1_i6	RS29_PLUXY	40S ribosomal protein S29	
TRINITY_DN10845_c1_g1_i1	RS29_GRIJA	40S ribosomal protein S29	
TRINITY_DN10845_c2_g2_i1	RS29_GRIJA	40S ribosomal protein S29	
TRINITY_DN10894_c0_g1_i10	.	.	
TRINITY_DN10894_c0_g1_i6	.	.	
TRINITY_DN10805_c0_g1_i7	RF298_ARATH	Putative E3 ubiquitin-protein ligase RF298	
TRINITY_DN10867_c0_g1_i3	SAU54_ARATH	Protein SMALL AUXIN UP-REGULATED RNA 54 {ECO:0000303|PubMed:29258424}	
TRINITY_DN10840_c2_g1_i1	PMA11_ARATH	ATPase 11, plasma membrane-type	
TRINITY_DN10835_c0_g1_i6	PSBQ_CHLRE	Oxygen-evolving enhancer protein 3, chloroplastic	
TRINITY_DN10835_c0_g1_i7	PSBQ_CHLRE	Oxygen-evolving enhancer protein 3, chloroplastic	
TRINITY_DN10835_c0_g1_i9	PSBQ_CHLRE	Oxygen-evolving enhancer protein 3, chloroplastic	
TRINITY_DN10813_c0_g1_i11	MYB12_ARATH	Transcription factor MYB12 {ECO:0000303|PubMed:9839469}	
TRINITY_DN10813_c0_g1_i9	MYB12_ARATH	Transcription factor MYB12 {ECO:0000303|PubMed:9839469}	
TRINITY_DN10865_c1_g1_i1	MPCP3_ARATH	Mitochondrial phosphate carrier protein 3, mitochondrial	
TRINITY_DN10892_c0_g1_i1	CXE17_ARATH	Probable carboxylesterase 17	6A
TRINITY_DN10892_c0_g2_i1	CXE17_ARATH	Probable carboxylesterase 17	
TRINITY_DN10823_c0_g3_i4	ACT_FUCVE	Actin	
TRINITY_DN10823_c0_g3_i7	ACT_PINCO	Actin	
TRINITY_DN10823_c1_g1_i1	ACT_PINCO	Actin	
TRINITY_DN10823_c1_g2_i1	ACT_PINCO	Actin	
TRINITY_DN10903_c0_g1_i2	MGAT3_RAT	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	6A
TRINITY_DN10903_c0_g1_i4	MGAT3_RAT	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	
TRINITY_DN10844_c0_g1_i2	.	.	
TRINITY_DN22126_c0_g1_i3	CAAT1_ARATH	Cationic amino acid transporter 1	
TRINITY_DN22152_c0_g1_i2	AB11B_ARATH	ABC transporter B family member 11	
TRINITY_DN22061_c1_g3_i1	.	.	
TRINITY_DN22134_c0_g1_i1	.	.	6W
TRINITY_DN22088_c0_g1_i4	NRL4A_LUPAN	Bifunctional nitrilase/nitrile hydratase NIT4A	
TRINITY_DN22113_c0_g1_i11	H4_PENVA	Histone H4	
TRINITY_DN22113_c0_g1_i3	H48_CHICK	Histone H4 type VIII	
TRINITY_DN22110_c0_g1_i3	LAAT1_CAEEL	Lysosomal amino acid transporter 1	
TRINITY_DN22111_c0_g1_i1	.	.	6A
TRINITY_DN22142_c0_g1_i1	.	.	
TRINITY_DN22078_c0_g1_i13	IQD26_ARATH	Protein IQ-domain 26 {ECO:0000303|PubMed:16368012}	
TRINITY_DN22107_c0_g1_i1	VHAA3_ARATH	V-type proton ATPase subunit a3	
TRINITY_DN22133_c0_g1_i1	CXE2_ARATH	Probable carboxylesterase 2	
TRINITY_DN22120_c0_g1_i1	C94A2_VICSA	Cytochrome P450 94A2	6A
TRINITY_DN22102_c0_g1_i3	.	.	
TRINITY_DN22102_c0_g1_i4	LRK10_WHEAT	Rust resistance kinase Lr10 {ECO:0000312|EMBL:AAC49629.1}	
TRINITY_DN22103_c0_g1_i1	DIOXL_ARATH	Extradiol ring-cleavage dioxygenase	6W
TRINITY_DN37523_c0_g2_i2	CLPC1_ORYSJ	Chaperone protein ClpC1, chloroplastic	
TRINITY_DN37504_c0_g1_i1	.	.	
TRINITY_DN37548_c0_g1_i1	LAM2_CAEEL	Laminin-like protein lam-2	
TRINITY_DN37495_c0_g1_i1	FLO_ANTMA	Floricaula protein	
TRINITY_DN37527_c0_g1_i1	HOS15_ARATH	WD40 repeat-containing protein HOS15 {ECO:0000305}	
TRINITY_DN37497_c0_g1_i1	RN128_XENLA	E3 ubiquitin-protein ligase RNF128	
TRINITY_DN37507_c0_g2_i2	RL7A2_ORYSJ	60S ribosomal protein L7a-2	
TRINITY_DN37507_c2_g1_i2	RL7A2_ORYSJ	60S ribosomal protein L7a-2	
TRINITY_DN37553_c0_g1_i1	SMD2_DICDI	Probable small nuclear ribonucleoprotein Sm D2	
TRINITY_DN37544_c0_g1_i2	G3PA_PEA	Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic	
TRINITY_DN37544_c0_g1_i6	G3PA_PEA	Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic	
TRINITY_DN37521_c0_g1_i1	ATXR3_ARATH	Histone-lysine N-methyltransferase ATXR3 {ECO:0000305}	
TRINITY_DN37488_c0_g2_i1	FKB12_DROME	Peptidyl-prolyl cis-trans isomerase Fkbp12 {ECO:0000303|PubMed:8756725, ECO:0000312|FlyBase:FBgn0013954}	
TRINITY_DN37542_c0_g1_i1	HSFA9_ARATH	Heat stress transcription factor A-9	
TRINITY_DN593_c0_g1_i3	PIGP_ARATH	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	6A
TRINITY_DN593_c0_g1_i6	PIGP_ARATH	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	6A
TRINITY_DN593_c0_g2_i1	KCY4_ORYSJ	UMP-CMP kinase 4 {ECO:0000255|HAMAP-Rule:MF_03172}	6A
TRINITY_DN593_c0_g2_i3	KCY4_ORYSJ	UMP-CMP kinase 4 {ECO:0000255|HAMAP-Rule:MF_03172}	
TRINITY_DN562_c0_g1_i9	APT1_ARATH	Adenine phosphoribosyltransferase 1, chloroplastic	
TRINITY_DN507_c0_g1_i11	CIPKQ_ARATH	CBL-interacting serine/threonine-protein kinase 26	
TRINITY_DN507_c0_g1_i12	CIPKQ_ARATH	CBL-interacting serine/threonine-protein kinase 26	
TRINITY_DN507_c0_g1_i15	CIPK3_ARATH	CBL-interacting serine/threonine-protein kinase 3	
TRINITY_DN507_c0_g1_i16	CIPK3_ARATH	CBL-interacting serine/threonine-protein kinase 3	
TRINITY_DN507_c0_g1_i3	CIPK3_ARATH	CBL-interacting serine/threonine-protein kinase 3	
TRINITY_DN507_c0_g1_i5	CIPK3_ARATH	CBL-interacting serine/threonine-protein kinase 3	
TRINITY_DN596_c0_g1_i1	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1	
TRINITY_DN596_c0_g1_i2	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1	
TRINITY_DN596_c0_g2_i1	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1	
TRINITY_DN596_c0_g2_i2	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1	6A
TRINITY_DN596_c1_g1_i3	GATA7_ARATH	GATA transcription factor 7	
TRINITY_DN596_c1_g1_i8	GATA7_ARATH	GATA transcription factor 7	
TRINITY_DN589_c0_g1_i8	PPP7_ARATH	Serine/threonine-protein phosphatase 7	
TRINITY_DN534_c0_g1_i20	YIPL6_ARATH	Protein yippee-like At4g27745	
TRINITY_DN520_c0_g1_i1	.	.	
TRINITY_DN520_c0_g1_i5	.	.	
TRINITY_DN520_c0_g1_i7	.	.	
TRINITY_DN535_c0_g1_i114	MIP_ARATH	Mitochondrial intermediate peptidase, mitochondrial {ECO:0000305}	
TRINITY_DN535_c0_g1_i140	MIP_ARATH	Mitochondrial intermediate peptidase, mitochondrial {ECO:0000305}	
TRINITY_DN535_c0_g1_i157	CRYD_ARATH	Cryptochrome DASH, chloroplastic/mitochondrial	
TRINITY_DN535_c0_g1_i97	CRYD_ORYSJ	Cryptochrome DASH, chloroplastic/mitochondrial	
TRINITY_DN590_c0_g1_i4	RH37_ARATH	DEAD-box ATP-dependent RNA helicase 37	6A
TRINITY_DN582_c0_g1_i4	ILR3_ARATH	Transcription factor ILR3	
TRINITY_DN582_c1_g1_i11	.	.	
TRINITY_DN564_c0_g1_i1	RHA2A_ARATH	E3 ubiquitin-protein ligase RHA2A {ECO:0000305}	
TRINITY_DN564_c0_g1_i2	RHA2A_ARATH	E3 ubiquitin-protein ligase RHA2A {ECO:0000305}	6W
TRINITY_DN564_c1_g1_i3	CLCD_ARATH	Chloride channel protein CLC-d	
TRINITY_DN564_c1_g1_i7	CLCD_ARATH	Chloride channel protein CLC-d	
TRINITY_DN586_c0_g1_i2	GIL1_ARATH	Protein GRAVITROPIC IN THE LIGHT 1 {ECO:0000303|PubMed:16640600}	6A
TRINITY_DN585_c0_g1_i2	C7150_PRUMU	Cytochrome P450 71AU50 {ECO:0000303|PubMed:25015725}	
TRINITY_DN585_c0_g1_i3	C7150_PRUMU	Cytochrome P450 71AU50 {ECO:0000303|PubMed:25015725}	
TRINITY_DN557_c0_g1_i5	BOLA4_ARATH	Protein BOLA4, chloroplastic/mitochondrial {ECO:0000303|PubMed:24203231}	
TRINITY_DN565_c0_g1_i1	TAUE3_ARATH	Sulfite exporter TauE/SafE family protein 3 {ECO:0000312|EMBL:AEC07746.1}	6A
TRINITY_DN565_c0_g1_i2	TAUE3_ARATH	Sulfite exporter TauE/SafE family protein 3 {ECO:0000312|EMBL:AEC07746.1}	
TRINITY_DN565_c0_g1_i5	TAUE3_ARATH	Sulfite exporter TauE/SafE family protein 3 {ECO:0000312|EMBL:AEC07746.1}	6A
TRINITY_DN523_c0_g1_i1	SUGP1_ARATH	SURP and G-patch domain-containing protein 1-like protein	
TRINITY_DN511_c0_g1_i7	SBT56_ARATH	Subtilisin-like protease SBT5.6 {ECO:0000303|PubMed:16193095}	
TRINITY_DN511_c0_g1_i8	SBT56_ARATH	Subtilisin-like protease SBT5.6 {ECO:0000303|PubMed:16193095}	
