GeneID	Gene_Start_position	Gene_End_position	Oryza_islolate_cover_bp	Setaria_islolate_cover_bp
g2365	975476	977891	2416	2416
g2366	978323	981257	2935	2935
g2367	981967	983326	1360	1360
g2368	983961	986462	2502	2502
g2369	989325	991528	2204	2204
g2370	993407	995214	1808	1795
g2371	997390	1005512	8123	8123
g2372	1006386	1006899	514	514
g2373	1007195	1012623	5429	5429
g2374	1013929	1014420	492	492
g2375	1016754	1019737	2984	2984
g2376	1020762	1023441	2680	2680
g2377	1024181	1025390	1210	1210
g2378	1029475	1033032	3558	3507
g2379	1033281	1036015	2735	2735
g2380	1041337	1042558	1222	1222
g2381	1043439	1044864	1426	1426
g2382	1047850	1048528	679	679
g2383	1049277	1051503	2227	2227
g2384	1052139	1055973	3835	3835
g2385	1056284	1057803	1520	1520
g2386	1065595	1068164	2570	2570
g2387	1069273	1071128	1856	1856
g2388	1071778	1075320	3530	3531
g2389	1075445	1079983	4539	4539
g2390	1083944	1084762	819	819
g2391	1087912	1088485	574	574
g2392	1089299	1091955	2657	2657
g2393	1093046	1094261	1216	1216
g2394	1094561	1095544	984	984
g2395	1095975	1101228	5254	5254
g2396	1102426	1104314	1889	1889
g2397	1106843	1107803	961	961
g2398	1108910	1111951	3042	3042
g2399	1112466	1113521	1056	1056
g2400	1114174	1115397	1224	1224
g2401	1115877	1116450	574	574
g2402	1116828	1117958	1131	1131
g2403	1119061	1119669	609	609
g2404	1120504	1122685	2182	2182
g2405	1124788	1125853	1066	1066
g2406	1127442	1128917	1476	1476
g2407	1130281	1131721	1441	1441
g2408	1132402	1133205	804	804
g2409	1136580	1138181	1602	1602
g2410	1139348	1140734	1387	1387
g2411	1140950	1142515	1566	1566
g2412	1143377	1144144	768	768
g2413	1144839	1145249	334	335
g2414	1145821	1149540	3720	3720
g2415	1150099	1150557	459	459
g2416	1150993	1151835	843	843
g2417	1152987	1154513	1527	1527
g2418	1155394	1157713	2320	2320
g2419	1160607	1162878	2272	2272
g2420	1169646	1171677	2032	2032
g2421	1176567	1178172	1606	1606
g2422	1178448	1180805	2358	2358
g2423	1182412	1184452	2041	2041
g2424	1185546	1189971	4426	4426
g2425	1191398	1192669	1272	1272
g2426	1194173	1195147	975	975
g2427	1195615	1196359	745	745
g2428	1197543	1198358	816	816
g2429	1198639	1202356	3718	3718
g2430	1203354	1205420	2067	2067
g2431	1205898	1207505	1608	1608
g2432	1208009	1210522	2514	2514
g2433	1210811	1212930	2120	2120
g2434	1213404	1214598	1195	1195
g2435	1216590	1220431	3842	3842
g2436	1224304	1227048	2745	2745
g2437	1228347	1228559	213	213
g2438	1229187	1229786	600	600
g2439	1234009	1237761	3753	3753
g2440	1241518	1242090	573	573
g2441	1242388	1243522	1135	1135
g2442	1243988	1244833	846	846
g2443	1246223	1248324	2102	2102
g2444	1251553	1252651	1099	1099
g2445	1252863	1254692	1830	1830
g2446	1256808	1257315	508	508
g2447	1260588	1266026	5439	5439
g2448	1268746	1270047	1302	1302
g2449	1271700	1273217	1518	1518
g2450	1274329	1275063	735	735
g2451	1276823	1280132	3310	3310
g2452	1284686	1285639	954	954
g2453	1286297	1287777	1481	1481
g2454	1289421	1291841	2421	2421
g2455	1296139	1298662	2524	2524
g2456	1301815	1302949	1135	1135
g2457	1303510	1304692	1183	1183
g2458	1307920	1309797	1878	1878
g2459	1311460	1313456	1997	1997
g2460	1314556	1315481	926	926
g2461	1316019	1317044	1026	1026
g2462	1318159	1320639	2442	2477
g2463	1325332	1326349	1018	1018
g2464	1328958	1329851	894	894
g2465	1332368	1334864	2497	2497
g2466	1335830	1336962	1133	1133
g2467	1337321	1338736	1416	1416
g2468	1339794	1340021	228	228
g2469	1342049	1342405	357	249
g2470	1345302	1345868	567	455
g2471	1347308	1349247	1940	1940
g2472	1350700	1351572	873	873
g2473	1351807	1352703	897	897
g2474	1354670	1357159	2490	2490
g2475	1363936	1367726	3791	3791
g2476	1370390	1372822	2433	2433
g2477	1373659	1374897	1239	1239
g2478	1376005	1378142	2138	2138
g2479	1378975	1379427	453	453
g2480	1386259	1389506	3248	3248
g2481	1390453	1390767	315	315
g2482	1391439	1392858	1420	1420
g2483	1393366	1395513	2148	2148
g2484	1396636	1396959	324	324
g2485	1397425	1398834	1410	1410
g2486	1399552	1405301	5750	5750
g2487	1406130	1407824	1695	1695
g2488	1421963	1424821	2859	2859
g2489	1425688	1427102	1415	1415
g2490	1428520	1429440	921	921
g2491	1430139	1430435	297	297
g2492	1436158	1437444	1287	1287
g2493	1438432	1443943	5512	5512
g2494	1444499	1446358	1860	1860
g2495	1447063	1448119	1057	1057
g2496	1450975	1453870	2896	2896
g2497	1454409	1456603	2195	2195
g2498	1460496	1462568	2073	2073
g2499	1465214	1466524	1311	1311
g2500	1467685	1469376	1692	1692
g2501	1470060	1472603	2544	2544
g2502	1477366	1479017	1652	1652
g2503	1479327	1480064	738	738
g2504	1481040	1483670	2631	2631
g2505	1486261	1487458	1198	1198
g2506	1491745	1493163	1419	1419
g2507	1494840	1496765	1926	1926
g2508	1496796	1500646	3851	3851
g2509	1501817	1503978	2162	2162
g2510	1506300	1507595	1296	1296
g2511	1512636	1513049	414	414
g2512	1513550	1515468	1919	1919
g2513	1516179	1517003	825	825
g2514	1519323	1520342	1020	1020
g2515	1521485	1522245	761	761
g2516	1523242	1524617	1376	1376
g2517	1525350	1526978	1629	1629
g2518	1530868	1532004	1137	1137
g2519	1542807	1546995	4189	4189
g2520	1547662	1549440	1779	1779
g2521	1550282	1550608	327	327
g2522	1552304	1554212	1909	1909
g2523	1554605	1555896	1292	1292
g2524	1556612	1557687	1076	1076
g2525	1559278	1560925	1648	1648
g2526	1562895	1564274	1380	1380
g2527	1564903	1567235	2333	2333
g2528	1567907	1570711	2805	2805
g2529	1571514	1573098	1585	1585
g2530	1573489	1574259	771	771
g2531	1575556	1577085	1530	1530
g2532	1577586	1579283	1698	1698
g2533	1581844	1585402	3559	3559
g2534	1587396	1588487	1092	1092
g2535	1589385	1591093	1709	1709
g2536	1592413	1593059	647	647
g2537	1594139	1596509	2371	2371
g2538	1597685	1598119	435	435
g2539	1599215	1599600	386	386
g2540	1600279	1602084	1806	1806
g2541	1603460	1606228	2769	2769
g2542	1607820	1610509	2690	2690
g2543	1610972	1612580	1586	1585
g2544	1615340	1616827	1488	1488
g2545	1618228	1620378	2151	2151
g2546	1620589	1623290	2702	2702
g2547	1624843	1627648	2806	2806
g2548	1628159	1629939	1781	1781
g2549	1630747	1632596	1850	1850
g2550	1643855	1644994	1140	1140
g2551	1651411	1653325	1915	1915
g2552	1653780	1654487	708	708
g2553	1654636	1655889	1254	1254
g2554	1656489	1659223	2735	2735
g2555	1661729	1662512	784	784
g2556	1665757	1667830	2074	2074
g2557	1669748	1672141	2394	2394
g2558	1673434	1674171	738	738
g2559	1676206	1676754	549	549
g2560	1677925	1678716	792	792
g2561	1679227	1680312	1086	1086
g2562	1683007	1687191	4185	4185
g2563	1687760	1688997	1238	1238
g2564	1689796	1690722	927	927
g2565	1690809	1691366	558	558
g2566	1692955	1695154	2200	2200
g2567	1696007	1697223	1217	1217
g2568	1698566	1700362	1797	1797
g2569	1703787	1704699	913	913
g2570	1705491	1707461	1971	1971
g2571	1707648	1710616	2969	2969
g2572	1711595	1713890	2296	2296
g2573	1722928	1727264	4337	4337
g2574	1731081	1732918	1838	1838
g2575	1733600	1736365	2766	2766
g2576	1738971	1745015	6045	6045
g2577	1745710	1746012	303	303
g2578	1748037	1749011	975	975
g2579	1753795	1758059	4265	4265
g2580	1759892	1761529	1638	1638
g2581	1761912	1762871	960	960
g2582	1763453	1764758	1306	1306
g2583	1765179	1765664	486	486
g2584	1766054	1767129	1076	1076
g2585	1767576	1768300	725	725
g2586	1768557	1769298	742	742
g2587	1769960	1771349	1390	1390
g2588	1772743	1776743	4001	4001
g2589	1779438	1781143	1706	1706
g2590	1786692	1791110	4419	4419
g2591	1791763	1795229	3467	3467
g2592	1796039	1796523	485	485
g2593	1796823	1797911	1089	1089
g2594	1798390	1799336	947	947
g2595	1800302	1804286	3985	3985
g2596	1804588	1805346	759	759
g2597	1806302	1807098	797	797
g2598	1807330	1807935	606	606
g2599	1808919	1810163	1245	1245
g2600	1810359	1812028	1670	1670
g2601	1812706	1813785	1080	1080
g2602	1814790	1816865	2076	2076
g2603	1820408	1821099	692	692
g2604	1821835	1822935	1101	1101
g2605	1823103	1824887	1785	1785
g2606	1826437	1828755	2319	2319
g2607	1832776	1833372	597	597
g2608	1834115	1835137	1023	1023
g2609	1836031	1837306	1276	1276
g2610	1838778	1839188	411	411
g2611	1840359	1842277	1919	1919
g2612	1843263	1844509	1247	1247
g2613	1845187	1846360	1165	1174
g2614	1847035	1849431	2397	2397
g2615	1850653	1852938	2286	2286
g2616	1854103	1856090	1988	1988
g2617	1858080	1859920	1841	1841
g2618	1860538	1861729	1192	1192
g2619	1863087	1863533	447	447
g2620	1864657	1865166	510	510
g2621	1867294	1868206	913	913
g2622	1868750	1869491	742	742
g2623	1870283	1872212	1922	1922
g2624	1875298	1876037	740	740
g2625	1879320	1881687	2368	2368
g2626	1882643	1883647	1005	1005
g2627	1889856	1891994	2139	2139
g2628	1894483	1896214	1732	1732
g2629	1897257	1899529	2273	2089
g2630	1899816	1900559	744	744
g2631	1902256	1905107	2852	2852
g2632	1905143	1907189	1838	2038
g2633	1910900	1912012	1113	0
g2634	1912439	1913173	735	0
g2635	1914917	1915174	258	0
g2636	1915394	1916113	720	0
g2637	1920995	1921379	385	385
g2638	1923867	1928863	4997	4997
g2639	1930093	1930401	309	309
g2640	1933094	1935891	2798	2798
g2641	1936516	1938510	1995	1995
g2642	1940013	1941027	1015	1015
g2643	1942555	1943377	823	823
g2644	1944632	1945742	1111	1111
g2645	1949608	1951817	2210	2210
g2646	1954167	1955915	1749	1749
g2647	1956559	1957765	1207	1207
g2648	1959227	1961045	1819	1819
g2649	1961069	1962893	1825	1825
g2650	1963087	1964070	984	984
g2651	1965189	1968890	3702	3702
g2652	1970465	1971809	1345	1345
g2653	1972530	1973871	1342	1342
g2654	1974263	1975608	1346	1346
g2655	1975686	1976175	490	490
g2656	1976870	1977724	855	855
g2657	1978697	1979520	824	824
g2658	1980535	1981751	1217	1217
g2659	1983043	1985156	2114	2114
g2660	1989107	1990186	1080	1080
g2661	1994294	1996264	1971	1971
g2662	1998140	1999345	1096	844
g2663	1999605	2000334	322	256
