transcript_id	blastx_id	blastx_full	Higher_expression
TRINITY_DN14909_c0_g1_i3	CYBK1_VITAC	Labd-13Z-ene-9,15,16-triol synthase, chloroplastic {ECO:0000303|PubMed:29315936}	Str
TRINITY_DN5606_c0_g1_i16	CP41A_ARATH	Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic	Str
TRINITY_DN5670_c0_g1_i10	P2C63_ARATH	Probable protein phosphatase 2C 63 {ECO:0000303|PubMed:19021904}	Str
TRINITY_DN6055_c0_g1_i3	YKT61_ARATH	VAMP-like protein YKT61 {ECO:0000303|PubMed:15919093}	Str
TRINITY_DN2655_c0_g1_i4	MYBS3_ORYSJ	Transcription factor MYBS3 {ECO:0000303|PubMed:12172034}	Str
TRINITY_DN2647_c0_g1_i1	P2C49_ARATH	Probable protein phosphatase 2C 49	Str
TRINITY_DN1326_c0_g1_i1	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19	Crl
TRINITY_DN1326_c0_g1_i3	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19	Str
TRINITY_DN12625_c0_g1_i5	R13L4_ARATH	Disease resistance RPP13-like protein 4	Str
TRINITY_DN10065_c0_g1_i3	MYO2_ARATH	Myosin-2	Str
TRINITY_DN9885_c0_g1_i3	LERK4_ORYSJ	G-type lectin S-receptor-like serine/threonine-protein kinase LECRK4 {ECO:0000305}	Str
TRINITY_DN7426_c0_g1_i1	LAZY1_ARATH	Protein LAZY 1 {ECO:0000305}	Str
TRINITY_DN3163_c0_g1_i5	B561I_ARATH	Cytochrome b561 and DOMON domain-containing protein At3g61750	Str
TRINITY_DN131_c0_g2_i1	SMD1B_ARATH	Small nuclear ribonucleoprotein SmD1b {ECO:0000303|PubMed:15575968}	Str
TRINITY_DN131_c0_g2_i3	SMD1B_ARATH	Small nuclear ribonucleoprotein SmD1b {ECO:0000303|PubMed:15575968}	Crl
TRINITY_DN160_c0_g1_i9	RPOC2_VITVI	DNA-directed RNA polymerase subunit beta'' {ECO:0000255|HAMAP-Rule:MF_01324}	Str
TRINITY_DN7020_c0_g1_i1	.	.	Str
TRINITY_DN7052_c0_g1_i27	MEL1_ORYSJ	Protein argonaute MEL1	Str
TRINITY_DN2415_c0_g1_i1	FLA11_ARATH	Fasciclin-like arabinogalactan protein 11	Str
TRINITY_DN10_c0_g1_i1	Y5185_ARATH	Probable receptor-like protein kinase At5g18500	Str
TRINITY_DN0_c0_g1_i20	ASPG1_ARATH	Protein ASPARTIC PROTEASE IN GUARD CELL 1	Str
TRINITY_DN55_c0_g1_i4	IF2P_SCHPO	Eukaryotic translation initiation factor 5B	Crl
TRINITY_DN1007_c0_g1_i6	SYT1_ARATH	Synaptotagmin-1	Str
TRINITY_DN1035_c0_g1_i3	LEUNG_ARATH	Transcriptional corepressor LEUNIG {ECO:0000303|PubMed:11058164}	Crl
TRINITY_DN1035_c0_g1_i5	LEUNG_ARATH	Transcriptional corepressor LEUNIG {ECO:0000303|PubMed:11058164}	Str
TRINITY_DN1005_c0_g1_i3	IF2B_MALDO	Eukaryotic translation initiation factor 2 subunit beta	Str
TRINITY_DN1071_c0_g2_i1	THLP1_ARATH	Thaumatin-like protein 1 {ECO:0000303|PubMed:15988566}	Str
TRINITY_DN4051_c0_g1_i7	ATAB2_ARATH	Protein TAB2 homolog, chloroplastic {ECO:0000305}	Str
TRINITY_DN4030_c0_g1_i4	SC15B_ARATH	Exocyst complex component SEC15B {ECO:0000303|PubMed:19895414}	Str
TRINITY_DN28424_c1_g1_i14	TBP1_ORYSJ	Telomere-binding protein 1	Str
TRINITY_DN9567_c0_g1_i1	DRMH4_ARATH	Dormancy-associated protein homolog 4 {ECO:0000305}	Str
TRINITY_DN2333_c0_g1_i3	PUB43_ARATH	U-box domain-containing protein 43	Str
